session_id,date,distance,avg_heart_rate,type,route,avg_speed,duration,duration_in_mins
1,2022-10-15,3,NULL,Treadmill,X-sport,00:09:23,00:28:09,28.15
2,2022-10-17,3,NULL,Treadmill,X-sport,00:08:57,00:26:52,26.8667
3,2023-01-24,3,NULL,Treadmill,X-sport,00:08:47,00:26:22,26.3667
4,2023-02-02,3,NULL,Treadmill,X-sport,00:08:40,00:26:00,26
5,2023-02-03,3,NULL,Treadmill,X-sport,00:08:36,00:25:48,25.8
6,2023-02-07,3,NULL,Treadmill,X-sport,00:08:34,00:25:43,25.7167
7,2023-02-08,3,NULL,Treadmill,X-sport,00:08:30,00:25:29,25.4833
8,2023-02-12,6,NULL,Treadmill,X-sport,00:09:03,00:54:15,54.25
9,2023-02-14,2.99,NULL,Treadmill,X-sport,00:08:45,00:26:09,26.15
10,2023-02-16,4,NULL,Treadmill,X-sport,00:08:26,00:33:42,33.7
11,2023-02-20,4,NULL,Treadmill,X-sport,00:09:30,00:37:59,37.9833
12,2023-02-21,4,NULL,Treadmill,X-sport,00:08:40,00:34:38,34.6333
13,2023-02-23,4,NULL,Treadmill,X-sport,00:08:37,00:34:29,34.4833
14,2023-02-27,4,NULL,Treadmill,X-sport,00:08:40,00:34:39,34.65
15,2023-03-01,4,NULL,Treadmill,X-sport,00:08:29,00:33:56,33.9333
16,2023-03-02,4,NULL,Treadmill,X-sport,00:08:35,00:34:20,34.3333
17,2023-03-07,6,NULL,Treadmill,X-sport,00:09:11,00:55:08,55.1333
18,2023-03-09,4,NULL,Treadmill,X-sport,00:08:35,00:34:19,34.3167
19,2023-03-13,4,NULL,Treadmill,X-sport,00:08:18,00:33:13,33.2167
20,2023-03-15,3.99,NULL,Treadmill,X-sport,00:08:20,00:33:14,33.2333
21,2023-03-19,6,NULL,Treadmill,X-sport,00:08:52,00:53:14,53.2333
22,2023-03-22,6,NULL,Treadmill,X-sport,00:08:32,00:51:13,51.2167
23,2023-03-01,4,NULL,Treadmill,X-sport,00:08:29,00:33:56,33.9333
24,2023-04-05,4,NULL,Treadmill,X-sport,00:08:05,00:32:21,32.35
25,2023-04-19,4,NULL,Treadmill,X-sport,00:08:11,00:32:45,32.75
26,2023-04-23,4,NULL,Treadmill,X-sport,00:07:58,00:31:52,31.8667
27,2023-04-26,3.99,NULL,Treadmill,X-sport,00:07:55,00:31:37,31.6167
28,2023-05-03,4,NULL,Treadmill,X-sport,00:08:13,00:32:50,32.8333
29,2023-06-02,3,NULL,Treadmill,X-sport,00:08:29,00:25:27,25.45
30,2023-03-25,3.96,NULL,Treadmill,X-sport,00:08:18,00:32:51,32.85
31,2023-03-24,0.46,110,Outdoor,Home-to-work,00:18:59,00:08:44,8.73333
32,2023-03-24,0.5,146,Outdoor,Home-to-work,00:08:34,00:04:17,4.28333
33,2023-03-24,0.5,129,Outdoor,Home-to-work,00:11:16,00:05:38,5.63333
34,2023-03-24,0.52,142,Outdoor,Home-to-work,00:09:25,00:04:54,4.9
35,2023-03-25,3.96,158,Outdoor,"Route 1",00:08:18,00:32:51,32.85
36,2023-03-25,1.98,159,Outdoor,"Route 1",00:08:08,00:16:07,16.1167
37,2023-03-29,3,158,Outdoor,"Route 1",00:08:17,00:24:50,24.8333
38,2023-03-31,0.52,135,Outdoor,Home-to-work,00:15:04,00:07:50,7.83333
39,2023-03-31,0.52,153,Outdoor,Home-to-work,00:11:05,00:05:46,5.76667
40,2023-04-01,0.5,143,Outdoor,Home-to-work,00:11:10,00:05:35,5.58333
41,2023-04-09,0.55,112,Outdoor,Home-to-work,00:20:20,00:11:11,11.1833
42,2023-04-16,0.42,121,Outdoor,Home-to-work,00:18:25,00:07:44,7.73333
43,2023-05-04,0.46,137,Outdoor,Home-to-work,00:13:05,00:06:01,6.01667
44,2023-05-06,0.39,112,Outdoor,Home-to-work,00:24:45,00:09:39,9.65
45,2023-05-07,0.5,111,Outdoor,Home-to-work,00:17:44,00:08:52,8.86667
46,2023-05-14,0.5,112,Outdoor,Home-to-work,00:20:48,00:10:24,10.4
47,2023-05-22,0.53,108,Outdoor,Home-to-work,00:19:51,00:10:31,10.5167
48,2023-05-22,0.55,131,Outdoor,Home-to-work,00:16:25,00:09:02,9.03333
49,2023-05-27,0.5,116,Outdoor,Home-to-work,00:21:14,00:10:37,10.6167
50,2023-06-03,0.57,129,Outdoor,Home-to-work,00:14:11,00:08:05,8.08333
51,2023-06-04,0.41,118,Outdoor,Home-to-work,00:17:46,00:07:17,7.28333
52,2023-06-08,0.6,121,Outdoor,Home-to-work,00:15:20,00:09:12,9.2
53,2023-06-17,0.53,122,Outdoor,Home-to-work,00:11:53,00:06:18,6.3
54,2023-07-02,0.54,140,Outdoor,Home-to-work,00:13:03,00:07:03,7.05
55,2023-04-01,6.02,153,Outdoor,"Route 1",00:08:35,00:51:43,51.7167
56,2023-04-06,6,158,Outdoor,"Route 1",00:08:26,00:50:35,50.5833
57,2023-04-10,6,164,Outdoor,"Route 1",00:08:06,00:48:34,48.5667
58,2023-04-14,3.03,159,Outdoor,"Route 1",00:08:00,00:24:15,24.25
59,2023-04-15,6.03,164,Outdoor,"Route 1",00:08:27,00:51:00,51
60,2023-04-21,1.2,147,Outdoor,"Route 1",00:07:34,00:09:05,9.08333
61,2023-04-21,4.87,158,Outdoor,"Route 1",00:08:27,00:41:08,41.1333
62,2023-04-28,6,157,Outdoor,"Route 1",00:06:51,00:41:08,41.1333
63,2023-05-07,6,152,Outdoor,"Route 1",00:08:54,00:53:24,53.4
64,2023-06-02,1.72,153,Outdoor,"Route 1",00:08:51,00:15:13,15.2167
65,2023-06-09,2.96,NULL,Outdoor,"Route 1",00:09:49,00:29:03,29.05
66,2023-06-21,5.94,160,Outdoor,"Route 1",00:09:11,00:54:31,54.5167
67,2023-06-24,6,161,Outdoor,"Route 1",00:08:44,00:52:26,52.4333
68,2023-06-25,8,157,Outdoor,"Route 1",00:09:10,01:13:20,73.3333
69,2023-06-29,6,158,Outdoor,"Route 1",00:09:17,00:55:43,55.7167
